track_id,lost_frame,found_frame,gap_duration_frames,gap_duration_seconds
10,6,7,1,0.03333333333333333
10,10,11,1,0.03333333333333333
10,14,16,2,0.06666666666666667
10,41,43,2,0.06666666666666667
10,58,59,1,0.03333333333333333
10,193,195,2,0.06666666666666667
8,10,18,8,0.26666666666666666
8,21,22,1,0.03333333333333333
13,18,19,1,0.03333333333333333
13,20,23,3,0.1
13,24,31,7,0.23333333333333334
13,32,255,223,7.433333333333334
13,265,268,3,0.1
13,270,276,6,0.2
13,277,306,29,0.9666666666666667
13,307,686,379,12.633333333333333
13,687,688,1,0.03333333333333333
13,689,701,12,0.4
13,723,883,160,5.333333333333333
13,884,885,1,0.03333333333333333
12,18,20,2,0.06666666666666667
5,23,34,11,0.36666666666666664
5,45,47,2,0.06666666666666667
26,32,45,13,0.43333333333333335
28,74,75,1,0.03333333333333333
28,83,86,3,0.1
28,88,90,2,0.06666666666666667
28,111,114,3,0.1
28,116,122,6,0.2
28,133,136,3,0.1
28,138,140,2,0.06666666666666667
28,143,146,3,0.1
28,147,148,1,0.03333333333333333
28,150,152,2,0.06666666666666667
28,155,159,4,0.13333333333333333
28,161,166,5,0.16666666666666666
28,184,188,4,0.13333333333333333
28,193,195,2,0.06666666666666667
28,235,236,1,0.03333333333333333
28,259,260,1,0.03333333333333333
9,95,96,1,0.03333333333333333
51,151,155,4,0.13333333333333333
11,154,161,7,0.23333333333333334
11,162,163,1,0.03333333333333333
11,296,298,2,0.06666666666666667
11,1009,1010,1,0.03333333333333333
11,1015,1021,6,0.2
11,1026,1027,1,0.03333333333333333
11,1045,1047,2,0.06666666666666667
11,1369,1372,3,0.1
76,198,199,1,0.03333333333333333
71,208,209,1,0.03333333333333333
71,238,239,1,0.03333333333333333
71,244,245,1,0.03333333333333333
71,247,338,91,3.033333333333333
71,399,401,2,0.06666666666666667
108,252,255,3,0.1
109,261,263,2,0.06666666666666667
109,356,361,5,0.16666666666666666
109,365,371,6,0.2
109,372,377,5,0.16666666666666666
109,379,380,1,0.03333333333333333
109,390,391,1,0.03333333333333333
97,263,264,1,0.03333333333333333
97,267,269,2,0.06666666666666667
97,308,312,4,0.13333333333333333
132,334,335,1,0.03333333333333333
132,342,343,1,0.03333333333333333
132,346,348,2,0.06666666666666667
147,386,387,1,0.03333333333333333
147,388,389,1,0.03333333333333333
147,397,399,2,0.06666666666666667
111,401,402,1,0.03333333333333333
151,407,408,1,0.03333333333333333
6,457,459,2,0.06666666666666667
6,486,488,2,0.06666666666666667
155,456,460,4,0.13333333333333333
188,501,504,3,0.1
188,505,507,2,0.06666666666666667
188,562,564,2,0.06666666666666667
188,585,586,1,0.03333333333333333
3,534,536,2,0.06666666666666667
3,545,554,9,0.3
3,1539,1540,1,0.03333333333333333
3,3509,3510,1,0.03333333333333333
3,3512,3514,2,0.06666666666666667
3,7262,7265,3,0.1
177,534,541,7,0.23333333333333334
149,557,558,1,0.03333333333333333
179,595,602,7,0.23333333333333334
179,603,617,14,0.4666666666666667
179,618,619,1,0.03333333333333333
179,644,649,5,0.16666666666666666
179,650,651,1,0.03333333333333333
161,631,633,2,0.06666666666666667
161,651,653,2,0.06666666666666667
161,663,665,2,0.06666666666666667
161,666,667,1,0.03333333333333333
161,674,675,1,0.03333333333333333
258,662,672,10,0.3333333333333333
258,673,674,1,0.03333333333333333
301,751,757,6,0.2
197,842,843,1,0.03333333333333333
197,857,858,1,0.03333333333333333
197,896,898,2,0.06666666666666667
197,903,907,4,0.13333333333333333
197,912,913,1,0.03333333333333333
325,866,871,5,0.16666666666666666
325,874,875,1,0.03333333333333333
325,876,882,6,0.2
325,886,887,1,0.03333333333333333
325,942,943,1,0.03333333333333333
325,983,985,2,0.06666666666666667
334,914,916,2,0.06666666666666667
334,918,919,1,0.03333333333333333
334,924,926,2,0.06666666666666667
334,929,932,3,0.1
334,935,936,1,0.03333333333333333
334,939,943,4,0.13333333333333333
334,948,954,6,0.2
334,958,985,27,0.9
363,938,940,2,0.06666666666666667
363,947,949,2,0.06666666666666667
363,950,951,1,0.03333333333333333
363,953,954,1,0.03333333333333333
363,961,962,1,0.03333333333333333
363,972,973,1,0.03333333333333333
359,940,942,2,0.06666666666666667
359,943,946,3,0.1
352,931,948,17,0.5666666666666667
352,951,960,9,0.3
352,964,968,4,0.13333333333333333
352,985,988,3,0.1
385,982,983,1,0.03333333333333333
385,1046,1047,1,0.03333333333333333
378,1000,1005,5,0.16666666666666666
378,1013,1014,1,0.03333333333333333
378,1015,1018,3,0.1
378,1023,1024,1,0.03333333333333333
378,1214,1215,1,0.03333333333333333
400,1003,1006,3,0.1
400,1122,1123,1,0.03333333333333333
395,1007,1008,1,0.03333333333333333
395,1010,1011,1,0.03333333333333333
395,1018,1019,1,0.03333333333333333
395,1134,1140,6,0.2
431,1034,1035,1,0.03333333333333333
431,1036,1043,7,0.23333333333333334
422,1040,1042,2,0.06666666666666667
434,1038,1043,5,0.16666666666666666
434,1046,1052,6,0.2
434,1054,1058,4,0.13333333333333333
392,1066,1070,4,0.13333333333333333
392,1076,1078,2,0.06666666666666667
441,1094,1095,1,0.03333333333333333
441,1103,1106,3,0.1
458,1119,1120,1,0.03333333333333333
458,1171,1172,1,0.03333333333333333
458,1173,1175,2,0.06666666666666667
458,1243,1246,3,0.1
458,1247,1248,1,0.03333333333333333
355,1123,1124,1,0.03333333333333333
463,1136,1138,2,0.06666666666666667
463,1140,1149,9,0.3
463,1152,1153,1,0.03333333333333333
463,1171,1172,1,0.03333333333333333
463,1195,1196,1,0.03333333333333333
463,1204,1207,3,0.1
463,1212,1216,4,0.13333333333333333
463,1381,1382,1,0.03333333333333333
463,1383,1384,1,0.03333333333333333
474,1184,1186,2,0.06666666666666667
485,1208,1209,1,0.03333333333333333
485,1211,1236,25,0.8333333333333334
485,1239,1260,21,0.7
485,1261,1265,4,0.13333333333333333
492,1228,1230,2,0.06666666666666667
492,1231,1239,8,0.26666666666666666
492,1248,1251,3,0.1
492,1255,1256,1,0.03333333333333333
492,1259,1261,2,0.06666666666666667
492,1263,1264,1,0.03333333333333333
535,1399,1405,6,0.2
512,1405,1406,1,0.03333333333333333
512,1422,1424,2,0.06666666666666667
539,1418,1419,1,0.03333333333333333
539,1421,1448,27,0.9
539,1453,1778,325,10.833333333333334
539,1780,1825,45,1.5
539,1832,1833,1,0.03333333333333333
539,1836,1840,4,0.13333333333333333
539,1841,2000,159,5.3
539,2010,2011,1,0.03333333333333333
539,2012,2013,1,0.03333333333333333
539,2018,2020,2,0.06666666666666667
539,2025,2073,48,1.6
539,2074,2076,2,0.06666666666666667
539,2081,2088,7,0.23333333333333334
539,2150,2201,51,1.7
539,2202,2204,2,0.06666666666666667
539,2215,2245,30,1.0
539,2246,2248,2,0.06666666666666667
539,2251,2263,12,0.4
539,2280,2281,1,0.03333333333333333
539,2282,2285,3,0.1
539,2287,2294,7,0.23333333333333334
539,2297,2301,4,0.13333333333333333
539,2302,2392,90,3.0
539,2398,2433,35,1.1666666666666667
539,2440,2441,1,0.03333333333333333
539,2444,2446,2,0.06666666666666667
539,2449,2496,47,1.5666666666666667
539,2497,2582,85,2.8333333333333335
539,2589,2592,3,0.1
539,2638,2654,16,0.5333333333333333
539,2658,2660,2,0.06666666666666667
539,2745,2802,57,1.9
539,2810,2844,34,1.1333333333333333
539,2845,2846,1,0.03333333333333333
539,2849,2864,15,0.5
539,2875,2876,1,0.03333333333333333
539,2888,2898,10,0.3333333333333333
539,2904,2923,19,0.6333333333333333
539,2925,2929,4,0.13333333333333333
539,2934,2935,1,0.03333333333333333
539,2937,2946,9,0.3
539,2951,2961,10,0.3333333333333333
539,2965,3017,52,1.7333333333333334
539,3027,3029,2,0.06666666666666667
539,3036,3061,25,0.8333333333333334
539,3066,3077,11,0.36666666666666664
539,3078,3081,3,0.1
539,3085,3104,19,0.6333333333333333
539,3106,3114,8,0.26666666666666666
539,3122,3169,47,1.5666666666666667
539,3170,3231,61,2.033333333333333
539,3238,3240,2,0.06666666666666667
539,3241,3243,2,0.06666666666666667
539,3283,3300,17,0.5666666666666667
539,3307,3310,3,0.1
539,3312,3313,1,0.03333333333333333
539,3320,3322,2,0.06666666666666667
539,3323,3325,2,0.06666666666666667
539,3326,3328,2,0.06666666666666667
539,3336,3360,24,0.8
539,3361,3509,148,4.933333333333334
539,3521,3990,469,15.633333333333333
539,3992,3994,2,0.06666666666666667
539,3995,3997,2,0.06666666666666667
539,3999,4001,2,0.06666666666666667
539,4005,4006,1,0.03333333333333333
539,4016,4017,1,0.03333333333333333
539,4018,4020,2,0.06666666666666667
539,4023,4025,2,0.06666666666666667
539,4035,4849,814,27.133333333333333
539,4852,4854,2,0.06666666666666667
539,4877,4884,7,0.23333333333333334
539,4885,4886,1,0.03333333333333333
539,4888,4892,4,0.13333333333333333
539,4893,4910,17,0.5666666666666667
539,4915,4924,9,0.3
539,4926,4927,1,0.03333333333333333
539,4945,5027,82,2.7333333333333334
539,5028,5029,1,0.03333333333333333
539,5034,5035,1,0.03333333333333333
539,5039,5051,12,0.4
539,5083,5085,2,0.06666666666666667
539,5086,5098,12,0.4
539,5113,5114,1,0.03333333333333333
539,5123,5125,2,0.06666666666666667
539,5133,5141,8,0.26666666666666666
539,5142,5157,15,0.5
539,5160,5163,3,0.1
539,5167,5263,96,3.2
539,5264,5270,6,0.2
539,5299,5323,24,0.8
539,5446,5447,1,0.03333333333333333
539,5449,5451,2,0.06666666666666667
539,5490,5491,1,0.03333333333333333
539,5496,5501,5,0.16666666666666666
539,5502,5503,1,0.03333333333333333
539,5506,5522,16,0.5333333333333333
539,5525,5531,6,0.2
539,5536,5537,1,0.03333333333333333
539,5539,5542,3,0.1
539,5553,5557,4,0.13333333333333333
539,5562,5572,10,0.3333333333333333
539,5574,5602,28,0.9333333333333333
539,5603,5604,1,0.03333333333333333
539,5621,5624,3,0.1
539,5625,5649,24,0.8
539,5653,5654,1,0.03333333333333333
539,5658,5660,2,0.06666666666666667
539,5661,5681,20,0.6666666666666666
539,5689,5695,6,0.2
539,5698,5708,10,0.3333333333333333
539,5709,5737,28,0.9333333333333333
539,5740,5765,25,0.8333333333333334
539,5770,5776,6,0.2
539,5778,5813,35,1.1666666666666667
539,5854,5856,2,0.06666666666666667
539,5857,5859,2,0.06666666666666667
539,5862,5867,5,0.16666666666666666
539,5878,6371,493,16.433333333333334
539,6373,6374,1,0.03333333333333333
539,6375,6376,1,0.03333333333333333
539,6377,6379,2,0.06666666666666667
539,6393,6463,70,2.3333333333333335
539,6468,6469,1,0.03333333333333333
539,6471,6591,120,4.0
539,6592,6661,69,2.3
539,6676,6678,2,0.06666666666666667
539,6687,6691,4,0.13333333333333333
539,6693,6714,21,0.7
539,6717,6718,1,0.03333333333333333
539,6826,6827,1,0.03333333333333333
539,6838,6841,3,0.1
539,6942,6943,1,0.03333333333333333
539,7133,7137,4,0.13333333333333333
539,7138,7141,3,0.1
539,7142,7144,2,0.06666666666666667
539,7145,7149,4,0.13333333333333333
539,7151,7191,40,1.3333333333333333
539,7201,7206,5,0.16666666666666666
539,7207,7215,8,0.26666666666666666
539,7239,7241,2,0.06666666666666667
539,7248,7250,2,0.06666666666666667
539,7258,7269,11,0.36666666666666664
539,7282,7289,7,0.23333333333333334
539,7309,7312,3,0.1
539,7330,7331,1,0.03333333333333333
539,7338,7370,32,1.0666666666666667
539,7373,7374,1,0.03333333333333333
539,7376,7457,81,2.7
539,7461,7462,1,0.03333333333333333
539,7560,7564,4,0.13333333333333333
539,7566,7567,1,0.03333333333333333
539,7568,7573,5,0.16666666666666666
539,7574,7577,3,0.1
539,7704,7706,2,0.06666666666666667
539,7708,7710,2,0.06666666666666667
539,7714,7725,11,0.36666666666666664
539,7728,7737,9,0.3
539,7738,7745,7,0.23333333333333334
539,7902,7921,19,0.6333333333333333
539,7927,7928,1,0.03333333333333333
539,7944,8023,79,2.6333333333333333
539,8160,8161,1,0.03333333333333333
539,8181,8197,16,0.5333333333333333
539,8201,8203,2,0.06666666666666667
539,8209,8212,3,0.1
539,8218,8220,2,0.06666666666666667
539,8223,8225,2,0.06666666666666667
539,8233,8234,1,0.03333333333333333
539,8326,8329,3,0.1
539,8357,8399,42,1.4
539,8454,8458,4,0.13333333333333333
539,8483,8501,18,0.6
539,8510,8511,1,0.03333333333333333
539,8541,8693,152,5.066666666666666
539,8694,8696,2,0.06666666666666667
539,8697,8764,67,2.2333333333333334
539,8784,8786,2,0.06666666666666667
539,8788,8804,16,0.5333333333333333
539,8808,8809,1,0.03333333333333333
539,8813,8814,1,0.03333333333333333
539,8816,8820,4,0.13333333333333333
539,8821,8822,1,0.03333333333333333
539,8835,8838,3,0.1
539,8843,8849,6,0.2
539,8870,8897,27,0.9
539,8898,8902,4,0.13333333333333333
539,8903,8905,2,0.06666666666666667
539,8906,8907,1,0.03333333333333333
539,8910,8914,4,0.13333333333333333
539,9009,9010,1,0.03333333333333333
539,9065,9067,2,0.06666666666666667
539,9070,9071,1,0.03333333333333333
539,9089,9239,150,5.0
539,9317,9341,24,0.8
539,9342,9344,2,0.06666666666666667
539,9349,9800,451,15.033333333333333
539,9811,9823,12,0.4
539,9836,9837,1,0.03333333333333333
539,9840,10078,238,7.933333333333334
539,10091,10092,1,0.03333333333333333
539,10093,10095,2,0.06666666666666667
539,10096,10097,1,0.03333333333333333
539,10099,10100,1,0.03333333333333333
539,10103,10105,2,0.06666666666666667
539,10123,10188,65,2.1666666666666665
539,10189,10190,1,0.03333333333333333
539,10192,10193,1,0.03333333333333333
539,10196,10199,3,0.1
539,10208,10210,2,0.06666666666666667
539,10227,10231,4,0.13333333333333333
539,10237,10252,15,0.5
539,10259,10261,2,0.06666666666666667
539,10267,10272,5,0.16666666666666666
539,10274,10425,151,5.033333333333333
539,10426,10429,3,0.1
539,10434,10435,1,0.03333333333333333
539,10454,10456,2,0.06666666666666667
539,10589,10605,16,0.5333333333333333
539,10612,10613,1,0.03333333333333333
539,10614,10617,3,0.1
539,11056,11058,2,0.06666666666666667
539,11166,11167,1,0.03333333333333333
539,11168,11169,1,0.03333333333333333
539,11208,11212,4,0.13333333333333333
539,11216,11221,5,0.16666666666666666
539,11286,11290,4,0.13333333333333333
539,11431,11433,2,0.06666666666666667
539,11780,11781,1,0.03333333333333333
539,11782,11803,21,0.7
539,11847,11849,2,0.06666666666666667
539,11851,11852,1,0.03333333333333333
539,11853,11860,7,0.23333333333333334
539,12050,12051,1,0.03333333333333333
539,12053,12055,2,0.06666666666666667
539,12057,12065,8,0.26666666666666666
539,12228,12239,11,0.36666666666666664
539,12851,12852,1,0.03333333333333333
539,12884,12885,1,0.03333333333333333
539,12911,12918,7,0.23333333333333334
539,12930,12931,1,0.03333333333333333
539,12932,12967,35,1.1666666666666667
539,12972,12990,18,0.6
555,1440,1442,2,0.06666666666666667
555,1444,1445,1,0.03333333333333333
555,1446,1451,5,0.16666666666666666
555,1476,1489,13,0.43333333333333335
555,1490,1491,1,0.03333333333333333
561,1445,1446,1,0.03333333333333333
561,1510,1511,1,0.03333333333333333
540,1472,1473,1,0.03333333333333333
567,1474,1480,6,0.2
567,4284,4285,1,0.03333333333333333
567,4365,4366,1,0.03333333333333333
567,4367,4373,6,0.2
567,4437,4466,29,0.9666666666666667
567,4468,4482,14,0.4666666666666667
567,4534,4537,3,0.1
567,4703,4704,1,0.03333333333333333
567,4754,4756,2,0.06666666666666667
567,8942,8944,2,0.06666666666666667
567,8947,8951,4,0.13333333333333333
567,10189,10197,8,0.26666666666666666
567,10200,10201,1,0.03333333333333333
567,10242,10249,7,0.23333333333333334
567,10276,10280,4,0.13333333333333333
571,1484,1486,2,0.06666666666666667
571,1487,1489,2,0.06666666666666667
571,1496,1514,18,0.6
571,1518,1519,1,0.03333333333333333
571,1526,1531,5,0.16666666666666666
571,1532,1535,3,0.1
571,1536,1539,3,0.1
571,1540,1542,2,0.06666666666666667
571,1555,1562,7,0.23333333333333334
571,1583,1585,2,0.06666666666666667
571,1587,1589,2,0.06666666666666667
571,1619,1621,2,0.06666666666666667
571,1622,1623,1,0.03333333333333333
594,1499,1503,4,0.13333333333333333
594,1504,1506,2,0.06666666666666667
606,1514,1522,8,0.26666666666666666
606,1523,1527,4,0.13333333333333333
606,1538,1539,1,0.03333333333333333
606,1542,1543,1,0.03333333333333333
606,1550,1554,4,0.13333333333333333
606,1555,1561,6,0.2
606,1564,1566,2,0.06666666666666667
606,1571,1579,8,0.26666666666666666
606,1580,1582,2,0.06666666666666667
606,1583,1589,6,0.2
606,1591,1598,7,0.23333333333333334
602,1523,1524,1,0.03333333333333333
553,1490,1524,34,1.1333333333333333
543,1546,1549,3,0.1
543,1555,1556,1,0.03333333333333333
543,1560,1562,2,0.06666666666666667
620,1549,1550,1,0.03333333333333333
620,1556,1563,7,0.23333333333333334
649,1684,1685,1,0.03333333333333333
682,1693,1694,1,0.03333333333333333
682,1695,1698,3,0.1
682,1700,1703,3,0.1
682,1707,1708,1,0.03333333333333333
682,1712,1714,2,0.06666666666666667
682,1723,1724,1,0.03333333333333333
682,1726,1727,1,0.03333333333333333
682,1728,1729,1,0.03333333333333333
707,1747,1748,1,0.03333333333333333
715,1748,1749,1,0.03333333333333333
715,1761,1763,2,0.06666666666666667
708,1780,1789,9,0.3
729,1884,1885,1,0.03333333333333333
729,1888,1892,4,0.13333333333333333
732,1888,1889,1,0.03333333333333333
732,1892,1893,1,0.03333333333333333
732,1953,1955,2,0.06666666666666667
732,1956,1957,1,0.03333333333333333
