track_id,area_id,time,frame,duration
2,2,30.033333333333335,901,30.0
3,2,30.033333333333335,901,30.0
4,1,30.033333333333335,901,30.0
11,2,30.033333333333335,901,30.0
744,2,78.63333333333334,2359,30.000000000000007
762,2,79.4,2382,30.03333333333334
771,1,79.66666666666667,2390,30.000000000000007
737,2,83.6,2508,35.3
1588,1,139.36666666666667,4181,30.000000000000014
2226,2,175.33333333333334,5260,30.0
2324,1,179.9,5397,30.0
3150,1,240.73333333333332,7222,30.0
3695,2,287.76666666666665,8633,30.0
4512,1,361.46666666666664,10844,30.0
4529,1,362.3333333333333,10870,30.0
5633,1,420.1666666666667,12605,30.0
5726,2,426.1666666666667,12785,30.0
5735,2,426.6,12798,30.0
6480,1,481.3666666666667,14441,30.0
6471,1,481.4,14442,30.0
6708,2,490.2,14706,30.0
6833,1,498.43333333333334,14953,30.0
