track_id,lost_frame,found_frame,gap_duration_frames,gap_duration_seconds
13,14,15,1,0.03333333333333333
13,51,52,1,0.03333333333333333
9,16,20,4,0.13333333333333333
5,24,27,3,0.1
5,28,31,3,0.1
5,33,36,3,0.1
5,37,38,1,0.03333333333333333
5,39,54,15,0.5
10,28,30,2,0.06666666666666667
10,32,37,5,0.16666666666666666
10,42,43,1,0.03333333333333333
10,59,60,1,0.03333333333333333
10,66,71,5,0.16666666666666666
10,131,132,1,0.03333333333333333
10,135,142,7,0.23333333333333334
10,154,155,1,0.03333333333333333
10,167,168,1,0.03333333333333333
10,175,178,3,0.1
27,31,33,2,0.06666666666666667
27,36,39,3,0.1
27,50,51,1,0.03333333333333333
27,54,56,2,0.06666666666666667
27,118,120,2,0.06666666666666667
8,34,37,3,0.1
8,59,60,1,0.03333333333333333
8,66,72,6,0.2
8,74,76,2,0.06666666666666667
8,78,193,115,3.8333333333333335
8,252,323,71,2.3666666666666667
8,324,327,3,0.1
8,328,335,7,0.23333333333333334
8,410,411,1,0.03333333333333333
8,415,416,1,0.03333333333333333
8,418,423,5,0.16666666666666666
8,424,427,3,0.1
8,432,476,44,1.4666666666666666
8,485,512,27,0.9
8,546,675,129,4.3
8,677,683,6,0.2
8,685,792,107,3.566666666666667
35,46,47,1,0.03333333333333333
7,48,50,2,0.06666666666666667
11,62,63,1,0.03333333333333333
11,64,67,3,0.1
11,108,111,3,0.1
11,269,275,6,0.2
11,276,277,1,0.03333333333333333
11,289,293,4,0.13333333333333333
11,294,300,6,0.2
11,351,353,2,0.06666666666666667
11,355,356,1,0.03333333333333333
11,571,572,1,0.03333333333333333
11,630,633,3,0.1
11,1013,1014,1,0.03333333333333333
11,1015,1021,6,0.2
11,1026,1031,5,0.16666666666666666
11,1036,1040,4,0.13333333333333333
11,1043,1044,1,0.03333333333333333
11,1046,1047,1,0.03333333333333333
11,1106,1107,1,0.03333333333333333
11,1292,1297,5,0.16666666666666666
11,1301,1309,8,0.26666666666666666
11,1368,1369,1,0.03333333333333333
24,130,133,3,0.1
24,212,213,1,0.03333333333333333
65,225,227,2,0.06666666666666667
65,232,233,1,0.03333333333333333
132,243,245,2,0.06666666666666667
132,310,311,1,0.03333333333333333
171,258,260,2,0.06666666666666667
171,261,264,3,0.1
171,265,267,2,0.06666666666666667
171,353,371,18,0.6
171,374,386,12,0.4
171,389,390,1,0.03333333333333333
161,267,268,1,0.03333333333333333
170,276,277,1,0.03333333333333333
200,324,328,4,0.13333333333333333
200,332,334,2,0.06666666666666667
200,337,338,1,0.03333333333333333
200,340,342,2,0.06666666666666667
200,344,346,2,0.06666666666666667
200,347,348,1,0.03333333333333333
85,347,350,3,0.1
219,400,401,1,0.03333333333333333
219,472,480,8,0.26666666666666666
2,461,463,2,0.06666666666666667
2,1428,1429,1,0.03333333333333333
300,502,506,4,0.13333333333333333
300,573,575,2,0.06666666666666667
300,585,586,1,0.03333333333333333
300,587,590,3,0.1
281,522,523,1,0.03333333333333333
289,566,567,1,0.03333333333333333
289,595,598,3,0.1
289,601,613,12,0.4
289,615,616,1,0.03333333333333333
289,617,623,6,0.2
289,634,637,3,0.1
264,663,664,1,0.03333333333333333
264,672,674,2,0.06666666666666667
264,729,730,1,0.03333333333333333
264,754,762,8,0.26666666666666666
382,699,700,1,0.03333333333333333
305,700,701,1,0.03333333333333333
305,736,737,1,0.03333333333333333
305,818,825,7,0.23333333333333334
305,830,831,1,0.03333333333333333
305,832,834,2,0.06666666666666667
305,835,887,52,1.7333333333333334
305,888,908,20,0.6666666666666666
396,750,751,1,0.03333333333333333
437,870,872,2,0.06666666666666667
472,876,877,1,0.03333333333333333
472,881,882,1,0.03333333333333333
472,887,888,1,0.03333333333333333
472,889,892,3,0.1
472,894,898,4,0.13333333333333333
472,911,912,1,0.03333333333333333
472,970,971,1,0.03333333333333333
472,988,989,1,0.03333333333333333
472,1087,1088,1,0.03333333333333333
486,919,922,3,0.1
486,926,931,5,0.16666666666666666
486,935,942,7,0.23333333333333334
486,944,954,10,0.3333333333333333
486,958,959,1,0.03333333333333333
486,1040,1042,2,0.06666666666666667
486,1043,1046,3,0.1
527,932,934,2,0.06666666666666667
527,935,937,2,0.06666666666666667
527,938,940,2,0.06666666666666667
527,942,943,1,0.03333333333333333
527,944,947,3,0.1
527,949,962,13,0.43333333333333335
527,964,966,2,0.06666666666666667
527,968,973,5,0.16666666666666666
528,943,944,1,0.03333333333333333
528,947,949,2,0.06666666666666667
528,950,954,4,0.13333333333333333
528,956,959,3,0.1
528,961,964,3,0.1
528,966,974,8,0.26666666666666666
528,1034,1035,1,0.03333333333333333
528,1046,1048,2,0.06666666666666667
528,1050,1051,1,0.03333333333333333
528,1062,1063,1,0.03333333333333333
528,1064,1066,2,0.06666666666666667
519,930,947,17,0.5666666666666667
519,949,958,9,0.3
538,979,980,1,0.03333333333333333
538,985,988,3,0.1
538,991,992,1,0.03333333333333333
538,1008,1013,5,0.16666666666666666
494,995,998,3,0.1
494,1004,1007,3,0.1
494,1008,1010,2,0.06666666666666667
494,1013,1014,1,0.03333333333333333
494,1015,1018,3,0.1
494,1019,1034,15,0.5
494,1035,1047,12,0.4
494,1051,1101,50,1.6666666666666667
543,996,1001,5,0.16666666666666666
