track_id,lost_frame,found_frame,gap_duration_frames,gap_duration_seconds
7,2,4,2,0.06666666666666667
7,7,19,12,0.4
7,20,24,4,0.13333333333333333
7,26,27,1,0.03333333333333333
7,28,31,3,0.1
7,32,39,7,0.23333333333333334
7,41,43,2,0.06666666666666667
11,4,6,2,0.06666666666666667
11,496,505,9,0.3
11,506,561,55,1.8333333333333333
11,562,566,4,0.13333333333333333
11,567,569,2,0.06666666666666667
11,607,620,13,0.43333333333333335
11,980,985,5,0.16666666666666666
11,996,1021,25,0.8333333333333334
11,1022,1024,2,0.06666666666666667
11,1028,1032,4,0.13333333333333333
11,1033,1034,1,0.03333333333333333
11,1356,1370,14,0.4666666666666667
11,1444,1445,1,0.03333333333333333
11,1448,1456,8,0.26666666666666666
11,1458,1461,3,0.1
11,1495,1496,1,0.03333333333333333
11,1501,1502,1,0.03333333333333333
6,2,7,5,0.16666666666666666
6,8,31,23,0.7666666666666667
12,4,7,3,0.1
12,14,32,18,0.6
2,12,14,2,0.06666666666666667
2,24,26,2,0.06666666666666667
2,27,28,1,0.03333333333333333
2,30,32,2,0.06666666666666667
2,34,38,4,0.13333333333333333
2,42,44,2,0.06666666666666667
2,47,54,7,0.23333333333333334
2,56,59,3,0.1
2,61,72,11,0.36666666666666664
2,76,80,4,0.13333333333333333
4,27,28,1,0.03333333333333333
4,31,32,1,0.03333333333333333
4,37,41,4,0.13333333333333333
4,187,188,1,0.03333333333333333
4,190,191,1,0.03333333333333333
23,28,32,4,0.13333333333333333
8,19,35,16,0.5333333333333333
8,39,42,3,0.1
8,166,167,1,0.03333333333333333
8,168,174,6,0.2
8,175,178,3,0.1
8,179,192,13,0.43333333333333335
8,193,212,19,0.6333333333333333
8,213,215,2,0.06666666666666667
8,219,220,1,0.03333333333333333
8,481,484,3,0.1
8,496,498,2,0.06666666666666667
8,513,514,1,0.03333333333333333
8,519,520,1,0.03333333333333333
8,521,524,3,0.1
8,711,713,2,0.06666666666666667
8,1016,1018,2,0.06666666666666667
8,1139,1140,1,0.03333333333333333
8,1189,1192,3,0.1
8,1265,1269,4,0.13333333333333333
8,1272,1276,4,0.13333333333333333
8,1380,1381,1,0.03333333333333333
18,20,35,15,0.5
18,37,48,11,0.36666666666666664
18,52,58,6,0.2
18,59,68,9,0.3
18,71,72,1,0.03333333333333333
25,27,43,16,0.5333333333333333
9,47,48,1,0.03333333333333333
9,49,86,37,1.2333333333333334
9,87,88,1,0.03333333333333333
9,98,99,1,0.03333333333333333
9,103,133,30,1.0
49,62,88,26,0.8666666666666667
49,90,98,8,0.26666666666666666
49,104,110,6,0.2
69,106,107,1,0.03333333333333333
69,118,123,5,0.16666666666666666
69,127,130,3,0.1
69,134,135,1,0.03333333333333333
69,149,150,1,0.03333333333333333
69,161,168,7,0.23333333333333334
69,171,178,7,0.23333333333333334
69,179,183,4,0.13333333333333333
69,198,200,2,0.06666666666666667
69,202,203,1,0.03333333333333333
69,221,222,1,0.03333333333333333
13,74,124,50,1.6666666666666667
13,133,134,1,0.03333333333333333
13,135,136,1,0.03333333333333333
13,140,141,1,0.03333333333333333
13,143,146,3,0.1
13,176,232,56,1.8666666666666667
13,233,234,1,0.03333333333333333
13,235,236,1,0.03333333333333333
13,244,253,9,0.3
13,255,271,16,0.5333333333333333
13,272,283,11,0.36666666666666664
13,295,302,7,0.23333333333333334
13,304,307,3,0.1
13,308,337,29,0.9666666666666667
13,343,345,2,0.06666666666666667
13,350,351,1,0.03333333333333333
13,478,479,1,0.03333333333333333
13,481,482,1,0.03333333333333333
13,487,494,7,0.23333333333333334
13,496,501,5,0.16666666666666666
13,507,524,17,0.5666666666666667
3,132,134,2,0.06666666666666667
3,135,158,23,0.7666666666666667
3,159,163,4,0.13333333333333333
3,168,174,6,0.2
3,176,178,2,0.06666666666666667
